region,origin_count,circulation_count,cultural_count,total_count,pct_of_essays_any_tag
Western Europe,2,37,35,74,100.0
North America,11,27,29,67,100.0
Mediterranean Basin,5,23,15,43,89.6
East Asia,11,15,13,39,81.2
South America,11,14,11,36,75.0
South Asia,8,14,11,33,68.8
Mesoamerica,9,6,8,23,47.9
Caribbean,0,10,12,22,45.8
Southeast Asia,8,7,4,19,39.6
Andean Highlands,6,3,6,15,31.2
Amazon Basin,8,3,3,14,29.2
Oceania,4,5,3,12,25.0
Middle East,3,4,4,11,22.9
Sub-Saharan Africa,3,4,4,11,22.9
Tropical Africa,7,1,2,10,20.8
North Africa,3,2,2,7,14.6
Atlantic World,0,6,0,6,12.5
Central Asia,3,1,0,4,8.3
Eastern Europe,2,1,1,4,8.3
Indian Ocean World,1,3,0,4,8.3
Horn of Africa,2,1,0,3,6.2
Himalayan Region,1,0,0,1,2.1
Silk Road Region,0,1,0,1,2.1
